"field_id","itr_form","assessment_year","feature_area","schema_path","field_name","field_type","required","allowed_values","description","source_name","source_url","source_file","verification_status","source_reference"
"IF-2_202-00352","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of3To31Of3","Up16Of3To31Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of3To31Of3"
"IF-2_202-00353","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A","Schedule112A","reference","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A"
"IF-2_202-00354","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.Schedule112ADtls","Schedule112ADtls","array","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.Schedule112ADtls"
"IF-2_202-00355","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.SaleValue112A","SaleValue112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.SaleValue112A"
"IF-2_202-00356","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.CostAcqWithoutIndx112A","CostAcqWithoutIndx112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.CostAcqWithoutIndx112A"
"IF-2_202-00357","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.AcquisitionCost112A","AcquisitionCost112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.AcquisitionCost112A"
"IF-2_202-00358","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.LTCGBeforelowerB1B2112A","LTCGBeforelowerB1B2112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.LTCGBeforelowerB1B2112A"
"IF-2_202-00359","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.FairMktValueCapAst112A","FairMktValueCapAst112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.FairMktValueCapAst112A"
"IF-2_202-00360","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.ExpExclCnctTransfer112A","ExpExclCnctTransfer112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.ExpExclCnctTransfer112A"
"IF-2_202-00361","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.Deductions112A","Deductions112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.Deductions112A"
"IF-2_202-00362","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.Balance112A","Balance112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.Balance112A"
"IF-2_202-00363","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule112A.TotalBalance112A","TotalBalance112A","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule112A.TotalBalance112A"
"IF-2_202-00369","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.Schedule115AD.LTCGBeforelowerB1B2115AD","LTCGBeforelowerB1B2115AD","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.Schedule115AD.LTCGBeforelowerB1B2115AD"
"IF-2_202-00375","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleVDA","ScheduleVDA","reference","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleVDA"
"IF-2_202-00376","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleVDA.ScheduleVDADtls","ScheduleVDADtls","array","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleVDA.ScheduleVDADtls"
"IF-2_202-00377","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleVDA.TotIncCapGain","TotIncCapGain","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleVDA.TotIncCapGain"
"IF-2_202-00378","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS","ScheduleOS","reference","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS"
"IF-2_202-00379","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse","IncOthThanOwnRaceHorse","object","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse"
"IF-2_202-00380","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.GrossIncChrgblTaxAtAppRate","GrossIncChrgblTaxAtAppRate","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.GrossIncChrgblTaxAtAppRate"
"IF-2_202-00381","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.DividendGross","DividendGross","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.DividendGross"
"IF-2_202-00382","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.DividendOthThan22e","DividendOthThan22e","integer","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.DividendOthThan22e"
"IF-2_202-00383","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.Dividend22e","Dividend22e","integer","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.Dividend22e"
"IF-2_202-00384","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.Dividend22f","Dividend22f","integer","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleOS.IncOthThanOwnRaceHorse.Dividend22f"
