"validation_id","itr_form","assessment_year","validation_code","workflow","field_or_schedule","validation_message","source_name","source_url","source_file","verification_status","source_reference"
"IVAL-ITR4-0049","ITR-4","2026-27","64","filing_readiness","","In the Schedule ""Gross total Income"", 'Net Salary' should be the difference between","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 64"
"IVAL-ITR4-0060","ITR-4","2026-27","78","filing_readiness","","Exempt Allowance u/s 10(10CC)-Tax paid by employer on non-monetary perquisite","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 78"
"IVAL-ITR4-0075","ITR-4","2026-27","93","filing_readiness","","""Sec 10(26)-Any income as referred to in section 10(26)"" drop-down cannot be selected","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 93"
"IVAL-ITR4-0076","ITR-4","2026-27","94","filing_readiness","","""Sec 10(26AAA)-Any income as referred to in section 10(26AAA)"" drop-down cannot","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 94"
"IVAL-ITR4-0077","ITR-4","2026-27","95","filing_readiness","","In ""Schedule Income Details"" Deduction u/s 57(iia) shall be allowed only if ""Family","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 95"
"IVAL-ITR4-0078","ITR-4","2026-27","96","filing_readiness","","In case of old tax regime in “Schedule Income Details"" Deduction u/s 57(iia) cannot be","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 96"
"IVAL-ITR4-0079","ITR-4","2026-27","97","filing_readiness","","Presumptive income u/s 44AE should be Presumptive Income from Goods Carriage as","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 97"
"IVAL-ITR4-0080","ITR-4","2026-27","99","filing_readiness","99","In Schedule 80G in table (A) ""Donations entitled for 100% deduction without qualifying","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 99"
"IVAL-ITR4-0081","ITR-4","2026-27","100","filing_readiness","","In Schedule 80G in table (B) ""Donations entitled for 50% deduction without qualifying","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 100"
"IVAL-ITR4-0082","ITR-4","2026-27","101","filing_readiness","","In Schedule 80G in table (c) “Donations entitled for 100% deduction Subject to","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 101"
